2026-08-21 11:16:46,948 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_in.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:47,479 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_lk.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:49,895 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_uy.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:52,533 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:52,544 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:52,624 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:52,821 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:55,276 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:57,974 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_cl.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:57,976 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_bm.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:16:59,654 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_gl.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:17:08,451 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_ni.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:17:08,511 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_pw.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:17:11,069 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/bambenek_cryptowall.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:17:12,726 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/dshield.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:17:18,768 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/malwaredomainlist.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-21 11:17:18,958 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/normshield_all_wannacry.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:35,143 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_ad.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:35,520 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_et.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:35,590 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_ci.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:38,230 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_kr.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:38,382 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_ni.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:38,482 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_lr.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,372 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_sk.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,537 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_th.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,568 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_tg.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,780 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_td.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,791 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/geolite2_country/country_ve.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,926 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:40,958 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:42,643 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:45,953 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:45,983 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:46,001 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:46,001 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:47,393 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,145 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,543 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_cm.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,567 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_by.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,656 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_gb.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,676 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_ci.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
